Name,Link,Description
Santa Barbara Corpus,https://www.linguistics.ucsb.edu/research/santa-barbara-corpus,"The Santa Barbara Corpus of Spoken American English is based on a large body of recordings of naturally occurring spoken interaction from all over the United States. The Santa Barbara Corpus represents a wide variety of people of different regional origins, ages, occupations, genders, and ethnic and social backgrounds. The predominant form of language use represented is face-to-face conversation, but the corpus also documents many other ways that that people use language in their everyday lives: telephone conversations, card games, food preparation, on-the-job talk, classroom lectures, sermons, story-telling, town hall meetings, tour-guide spiels, and more."
AllSides,https://www.allsides.com/unbiased-balanced-news,"AllSides™ is a media solutions company that strengthens our democratic society with balanced news, media bias ratings, diverse perspectives, and real conversation."
ClimateData,https://en.climate-data.org/,"Compare Climate across the world and check the history and trends in specify places."
FutureMe,https://www.futureme.org/,"Write a letter to your future self Write. Pick a receiving date. Send. Verify. That’s it. Your letter is safe with us - we’ve sent over 20 million letters in 20 years!"
Radio Garden,http://radio.garden/visit/mainz/48HCpM1c,"Radio Garden invites you to tune into thousands of live radio stations across the globe. By bringing distant voices close, radio connects people and places. From its very beginning, radio signals have crossed borders. Radio makers and listeners have imagined both connecting with distant cultures, as well as re-connecting with people from ‘home’ from thousands of miles away."
Wonders of StreetView,https://neal.fun/wonders-of-street-view/,"Visit strange places from the comfort of your home. These places will certainly entertain you."
Neal.Fun,https://neal.fun,"This Website offers a wide selection of interesting and fun things to do if you are bored."
Download more Ram,https://downloadmoreram.com/,"What is this site you ask? Download more RAM does exactly what it says on the tin. Our website gives you the ability to 'download more RAM' at no cost! Just select the amount you need and download! Your speed will be improved instantly!"
Let me Google that,https://letmegooglethat.com/,"Let me Google that is for all those people that find it more convenient to bother you with their questions than to Google it for themselves."
Got Rhythm,https://www.concerthotels.com/got-rhythm,"Got Rhythm? can you keep the rhythm when the beat drops out? Can we get a 930?"
Lose the Very,https://www.losethevery.com/,"The best way to remove "very" from your vocabulary."
Adobe Color Palette,https://color.adobe.com/create/image,"Extract color from an image and save them as color palette."
Color Wheel,https://www.canva.com/colors/color-wheel/,"Want to know what colors look good together? Canva's Color Wheel makes color combinations easy. Complementary, Monochromatic, Analogus and Triadic are all aviable."
Lospec,https://lospec.com,"Minimal Color palettes with a focus on pixelart."
